,name,rating,rating_count,industry,reviews,salaries,interviews,jobs,benefits,photos
3518,Angelique International,4.5,(309),Engineering & Construction | Noida +21 other locations,309,1k,13,1,34,--
3519,Bnp Paribas Securities,3.7,(309),Financial Services | Chennai +8 other locations,309,1.9k,13,--,32,--
3520,SVC Co-Operative Bank,3.9,(310),Banking | Mumbai +40 other locations,310,1.3k,17,5,25,--
3521,Princess Cruises,3.9,(309),Travel & Tourism | Mumbai +20 other locations,309,356,12,--,33,1
3522,Deepak Phenolics,4.4,(309),Chemicals | Bharuch +12 other locations,309,1.6k,27,--,31,4
3523,Indo Farm Equipment,3.1,(309),Industrial Machinery | Baddi +44 other locations,309,918,15,--,23,--
3524,Essar Projects India,3.7,(309),Engineering & Construction | Surat +41 other locations,309,746,9,--,50,--
3525,LetsTransport,3.6,(309),Logistics | Bengaluru +32 other locations,309,1.1k,25,2,25,6
3526,KEPCO Plant Service & Engineering,3.7,(309),Engineering & Construction | Bhavnagar +23 other locations,309,1k,16,3,26,--
3527,Manipal Technologies,4.0,(309),Printing & Publishing | Bengaluru +32 other locations,309,1.9k,13,13,33,--
3528,MARK EXHAUST SYSTEMS,4.2,(309),Auto Components | Gurugram +11 other locations,309,1.1k,20,--,25,3
3529,ESIC HOSPITAL,4.1,(309),Healthcare | New Delhi +59 other locations,309,920,13,--,18,--
3530,Bharat IT Services,3.3,(309),IT Services & Consulting | New Delhi +48 other locations,309,1.1k,17,--,7,1
3531,KnowledgeHut,4.4,(309),EdTech | Bengaluru +19 other locations,309,791,12,--,4,--
3532,GIVA Jewellery,3.1,(309),Jewellery | Bengaluru +27 other locations,309,988,24,19,1,--
3533,BOLD Technology Systems,3.0,(310),Software Product | Noida +8 other locations,310,1.6k,47,14,29,11
3534,Creative Hands HR Consultancy,4.2,(309),Recruitment | Chennai +39 other locations,309,210,38,--,43,--
3535,ATMECS Global,3.2,(309),IT Services & Consulting | Hyderabad +7 other locations,309,2.4k,37,15,23,--
3536,Military Engineer Services,4.6,(308),Engineering & Construction | New Delhi +77 other locations,308,638,13,--,29,--
3537,Ozone Pharmaceuticals,3.7,(308),Pharma | New Delhi +45 other locations,308,947,13,6,17,--
3538,Quintessence Business Solutions & Services,3.8,(308),Analytics & KPO | Coimbatore +2 other locations,308,1k,9,--,113,--
3539,Jaiprakash Power Ventures,4.0,(308),Power | Singrauli +21 other locations,308,1.1k,31,--,10,8
3540,Newt Global,4.3,(308),IT Services & Consulting | Chennai +9 other locations,308,804,61,20,15,--
3541,Military Engineer Services,4.6,(308),Engineering & Construction | New Delhi +77 other locations,308,638,13,--,29,--
3542,Jaiprakash Power Ventures,4.0,(308),Power | Singrauli +21 other locations,308,1.1k,31,--,10,8
3543,Ozone Pharmaceuticals,3.7,(308),Pharma | New Delhi +45 other locations,308,947,13,6,17,--
3544,Jodas Expoim,3.3,(308),Pharma | Hyderabad +6 other locations,308,1.3k,24,13,15,--
3545,Infiniti Software Solutions,4.5,(308),Software Product | Chennai +6 other locations,308,557,106,12,6,37
3546,CR3 Group,3.9,(308),Facility Management Services | Jamnagar +27 other locations,308,981,22,9,1,2
3547,ISMT,3.8,(308),Iron & Steel | Pune +6 other locations,308,1.1k,19,--,15,--
3548,ILJIN ELECTRONICS,3.8,(308),Semiconductors | Noida +16 other locations,308,892,23,--,12,4
3549,Ms Agarwal Foundries,4.2,(307),Iron & Steel | Hyderabad +13 other locations,307,876,34,--,8,8
3550,Avanse Financial Services,3.9,(307),Financial Services | Mumbai +26 other locations,307,1.5k,29,25,16,--
3551,Jasper Colin,3.9,(307),Analytics & KPO | Noida +10 other locations,307,741,40,9,30,2
3552,KHY ELECTRONIC,3.9,(307),Noida +12 other locations,307,988,31,--,21,17
3553,Katerra,3.5,(307),Engineering & Construction | Bengaluru +18 other locations,307,1.8k,22,--,46,--
3554,Fidelis Technology Services,3.2,(307),IT Services & Consulting | Bengaluru +34 other locations,307,1.7k,19,--,12,--
3555,JSW Steel Coated Products,3.9,(307),Mumbai +30 other locations,307,1.1k,29,--,12,--
3556,Hindustan Times,3.2,(307),Media & Entertainment | New Delhi +38 other locations,307,2k,17,--,32,--
3557,Elico Healthcare Services,3.3,(307),Analytics & KPO | Hyderabad +4 other locations,307,899,20,10,25,4
3558,ARDEM Incorporated,3.9,(308),BPO | Lucknow +7 other locations,308,574,36,27,2,4
3559,H&R Block,4.2,(306),Accounting & Auditing | Thiruvananthapuram +13 other locations,306,1.8k,25,9,23,--
3560,Silverskills,3.4,(306),BPO | Gurugram +11 other locations,306,1.1k,27,6,20,1
3561,Tata Marcopolo Motors,3.7,(306),Auto Components | Dharwad +13 other locations,306,1.1k,17,--,35,--
3562,Dainik Jagran,3.5,(306),Printing & Publishing | New Delhi +58 other locations,306,1.2k,13,--,26,--
3563,H&R Block,4.2,(306),Accounting & Auditing | Thiruvananthapuram +13 other locations,306,1.8k,25,9,23,--
3564,MSD Pharmaceuticals,3.8,(306),Pharma | Mumbai +50 other locations,306,1.5k,30,45,32,--
3565,Smart Value Products And Services,4.2,(306),FMCG | Gurugram +75 other locations,306,609,17,--,42,6
3566,Praxis Services,3.0,(306),Management Consulting | Gurugram +8 other locations,306,954,27,5,27,1
3567,ZIM Laboratories,3.0,(306),Pharma | Nagpur +10 other locations,306,1.4k,11,6,32,8
3568,Micro Plastics Private Limited,3.6,(306),Bengaluru +12 other locations,306,1.3k,33,4,31,11
3569,Doha Petroleum Construction Company,3.7,(306),Oil & Gas | Doha +14 other locations,306,648,26,--,14,--
3570,Embee Software,3.7,(305),Software Product | Kolkata +23 other locations,305,1.3k,9,3,14,5
3571,Diya Systems,3.2,(305),BPO | Mangaluru +8 other locations,305,1.2k,23,--,47,--
3572,RHI Magnesita,3.8,(305),Building Material | Gurugram +42 other locations,305,1.2k,18,7,12,--
3573,Pulse Pharmaceuticals,3.3,(305),Pharma | Hyderabad +37 other locations,305,906,15,4,27,23
3574,JUNIPER GREEN ENERGY,4.6,(304),Power | Gurugram +36 other locations,304,728,31,--,11,--
3575,Nissin Brake,4.2,(305),Auto Components | Neemrana +12 other locations,305,802,12,--,55,--
3576,Cavisson Systems,2.3,(305),IT Services & Consulting | Noida +5 other locations,305,1.8k,23,5,33,--
3577,Automotive Robotics (India),3.6,(305),Industrial Automation | Chennai +7 other locations,305,2.4k,37,14,16,7
3578,Jaguar Land Rover,3.9,(305),Automobile | Pune +32 other locations,305,1.7k,32,20,21,5
3579,TAJSATS AIR CATERING,4.1,(305),Hospitality | Mumbai +18 other locations,305,948,15,13,39,--
3580,Embee Software,3.7,(305),Software Product | Kolkata +23 other locations,305,1.3k,9,3,14,5
3581,Cameo Corporate Services,3.3,(305),BPO | Chennai +17 other locations,305,1.2k,17,12,18,--
3582,Automotive Robotics (India),3.6,(305),Industrial Automation | Chennai +7 other locations,305,2.4k,37,14,16,7
3583,Jaguar Land Rover,3.9,(305),Automobile | Pune +32 other locations,305,1.7k,32,20,21,5
3584,The Indian Hume Pipe Co.,4.0,(304),Building Material | Mumbai +51 other locations,304,1k,21,10,27,--
3585,Sabre,3.9,(304),Software Product | Bengaluru +10 other locations,304,2.2k,37,34,39,--
3586,Asort Company,3.9,(304),Internet | Gurugram +58 other locations,304,388,21,--,7,1
3587,Equinox Labs,3.9,(304),Clinical Research | Mumbai +17 other locations,304,896,43,3,24,--
3588,IM Gears,3.5,(304),Auto Components | Chennai +7 other locations,304,1k,16,3,32,1
3589,SGT University,3.6,(304),Education & Training | Gurugram +8 other locations,304,1k,22,16,19,3
3590,Sakon,3.0,(304),Software Product | Pune +2 other locations,304,1.9k,36,10,19,--
3591,Ordnance Factory,4.4,(304),Government | Hyderabad +37 other locations,304,600,11,--,25,1
3592,Yum!,4.1,(304),Hospitality | Gurugram +28 other locations,304,1.3k,19,36,40,--
3593,Molecular Connections,3.1,(304),IT Services & Consulting | Bengaluru +11 other locations,304,1.4k,21,2,21,13
3594,ITC ABD,3.7,(304),Guntur +74 other locations,304,1.1k,17,--,23,--
3595,Van Heusen,4.0,(304),Fashion & Textile | New Delhi +79 other locations,304,684,15,--,30,3
3596,Cyber Infrastructure,3.5,(304),IT Services & Consulting | Indore +12 other locations,304,1.5k,40,9,57,9
3597,Bombay Intelligence Security,4.0,(304),Law Enforcement & Security | Mumbai +56 other locations,304,693,20,12,31,--
3598,Himedia Laboratories,4.1,(304),Biotechnology | Mumbai +20 other locations,304,1.2k,77,--,10,8
3599,Meitra Hospital,4.5,(304),Healthcare | Kozhikode +4 other locations,304,363,15,1,8,2
3600,Themis Medicare,3.7,(304),Pharma | Mumbai +52 other locations,304,1.1k,14,--,14,--
3601,Meitra Hospital,4.5,(304),Healthcare | Kozhikode +4 other locations,304,363,15,1,8,2
3602,Domino Printech India LLP,4.3,(304),Industrial Automation | Gurugram +31 other locations,304,834,67,8,22,1
3603,Madina Group,4.5,(303),Oil & Gas | Doha +20 other locations,303,518,25,--,45,--
3604,Guiltfree Industries,3.5,(303),FMCG | Kolkata +63 other locations,303,1k,33,2,13,3
3605,Internshala,3.7,(303),EdTech | Gurugram +26 other locations,303,938,64,1,18,4
3606,Ninestars Information Technologies,3.1,(303),IT Services & Consulting | Chennai +14 other locations,303,1.5k,22,1,13,--
3607,GSH Group,4.2,(303),Facility Management Services | Chennai +36 other locations,303,965,11,48,35,--
3608,Amcor Flexibles India,3.7,(303),Packaging | Bharuch +19 other locations,303,1.3k,14,--,35,--
3609,AGI Glaspac,3.8,(302),Packaging | Hyderabad +9 other locations,302,946,24,--,21,2
3610,TCPL Packaging,4.0,(302),Packaging | Dadra & Nagar Haveli +50 other locations,302,1.4k,19,--,23,--
3611,TATWA Technologies,3.2,(302),IT Services & Consulting | Bhubaneswar +14 other locations,302,842,17,5,18,--
3612,Ck Birla Hospitals,3.9,(302),Healthcare | Kolkata +7 other locations,302,1.1k,14,--,25,2
3613,Ang India,3.7,(302),Consumer Electronics & Appliances | Noida +40 other locations,302,954,30,2,16,1
3614,Inlead Electronics,4.0,(302),Consumer Electronics & Appliances | Mumbai +45 other locations,302,938,11,--,41,--
3615,SBS,2.7,(302),IT Services & Consulting | Noida +8 other locations,302,2.2k,29,7,38,--
3616,Murugappa Group,4.0,(302),Agro Chemicals | Chennai +85 other locations,302,1.3k,20,57,35,5
3617,Danone Foods Beverages,3.4,(302),Food Processing | Mumbai +59 other locations,302,1.2k,11,1,16,6
3618,Xpheno,3.6,(302),Recruitment | Bengaluru +39 other locations,302,1.5k,22,176,8,8
3619,LANXESS India Private Limited,4.2,(302),Chemicals | Mumbai +17 other locations,302,1.1k,21,8,40,4
3620,Orix Auto Infrastructure Services,4.0,(303),Logistics | Mumbai +20 other locations,303,955,15,--,26,--
3621,Lanco Infratech,4.5,(301),Engineering & Construction | Gurugram +31 other locations,301,655,3,--,51,--
3622,Nimbus Harbor Facilities Management,4.0,(301),Facility Management Services | Gurugram +17 other locations,301,925,14,--,19,--
3623,HungerBox,3.7,(301),Internet | Bengaluru +15 other locations,301,1k,16,9,30,4
3624,Busibud,3.7,(301),Emerging Technologies | Chandigarh +21 other locations,301,127,43,--,7,--
3625,Pitney Bowes,3.7,(301),IT Services & Consulting | Pune +15 other locations,301,1.9k,23,8,32,--
3626,TIDC India,3.8,(301),Industrial Machinery | Chennai +30 other locations,301,1.3k,12,--,32,--
3627,Taal Tech India,3.9,(301),IT Services & Consulting | Bengaluru +10 other locations,301,1.5k,20,25,16,15
3628,Teamlease Digital,3.3,(672),Recruitment | Bengaluru +34 other locations,672,3.2k,39,--,49,--
3629,Fexprime Finance,4.5,(301),Financial Services | New Delhi +47 other locations,301,722,6,--,27,--
3630,Cliantha Research,4.0,(301),Clinical Research | Ahmedabad +12 other locations,301,1.3k,19,10,28,--
3631,SS Supply Chain Solutions,3.6,(301),IT Services & Consulting | Gurugram +35 other locations,301,1.1k,15,11,60,--
3632,Soma Enterprises,4.5,(300),Engineering & Construction | Hyderabad +48 other locations,300,749,7,--,49,--
3633,Suburban Diagnostics,3.9,(300),Healthcare | Mumbai +14 other locations,300,1k,10,--,28,--
3634,Rucha Engineers,3.8,(300),Industrial Machinery | Chhatrapati Sambhajinagar +13 other locations,300,1.3k,19,2,18,--
3635,Amrutanjan Health Care,4.0,(300),Pharma | Chennai +52 other locations,300,681,22,--,16,--
3636,Metric Stream Infotech,3.2,(300),Internet | Bengaluru +5 other locations,300,2.2k,19,--,38,--
3637,Thomson Digital,3.9,(300),Printing & Publishing | Noida +8 other locations,300,744,29,1,15,--
3638,Munjal Kiriu Industries,3.8,(300),Auto Components | Gurugram +9 other locations,300,849,15,--,23,--
3639,Manba Finance Limited,3.8,(300),NBFC | Mumbai +35 other locations,300,907,14,1,8,--
3640,Bharat Wire Ropes,3.6,(300),Iron & Steel | Mumbai +12 other locations,300,1.3k,42,16,13,--
3641,Hudson's Bay Company,3.8,(300),Retail | Bengaluru +8 other locations,300,1.8k,26,4,25,--
3642,Unibic Foods,3.7,(300),Food Processing | Bengaluru +48 other locations,300,1k,15,--,22,--
3643,Dahua Technology India Pvt.Ltd.,3.5,(300),IT Services & Consulting | New Delhi +49 other locations,300,1.1k,24,3,9,1
3644,Mindteck,3.0,(300),IT Services & Consulting | Bengaluru +9 other locations,300,2.2k,25,--,20,--
3645,Gaja Engineering,4.2,(300),Engineering & Construction | Hyderabad +34 other locations,300,1.1k,26,4,36,1
3646,MN Dastur & Company,4.0,(300),Metals & Mining | Kolkata +13 other locations,300,734,11,1,43,--
3647,Aurigene Pharmaceutical Services,4.2,(316),Pharma | Hyderabad +3 other locations,316,1.1k,28,19,19,1
3648,NVH India Auto Parts,3.3,(299),Auto Components | Chennai +14 other locations,299,1.2k,14,2,47,1
3649,Business Integrity Services,4.3,(299),BPO | Chennai +2 other locations,299,527,58,--,7,1
3650,Bird Worldwide Flight Services,3.3,(299),Aviation | New Delhi +12 other locations,299,780,30,1,29,--
3651,Arabian Construction Company,3.2,(299),Engineering & Construction | Kolkata +29 other locations,299,768,28,--,30,--
3652,ArcGate,3.0,(299),IT Services & Consulting | Udaipur +3 other locations,299,1.1k,25,20,23,3
3653,Gawar Construction,4.1,(299),Engineering & Construction | New Delhi +38 other locations,299,847,16,--,20,--
3654,Allanasons,4.0,(299),Food Processing | Mumbai +32 other locations,299,1.1k,21,15,39,1
3655,Koenig Solutions,3.5,(299),Education & Training | New Delhi +16 other locations,299,1.1k,37,36,17,--
3656,Futwork,3.8,(299),Internet | Mumbai +21 other locations,299,271,29,--,6,1
3657,HostBooks,3.1,(299),Software Product | Gurugram +8 other locations,299,649,20,1,14,26
3658,Adani Energy Solutions,3.6,(299),Power | Ahmedabad +78 other locations,299,1.1k,23,589,13,--
3659,Myk Schomburg,3.9,(298),Chemicals | Hyderabad +49 other locations,298,909,19,--,20,--
3660,Checkmate Services,3.9,(298),Facility Management Services | Vadodara +68 other locations,298,848,19,2,20,2
3661,Vinati Organics,3.9,(298),Chemicals | Chiplun +12 other locations,298,1.5k,16,1,18,--
3662,Indus Valley Partners,2.9,(298),IT Services & Consulting | Noida +9 other locations,298,2.5k,59,36,41,8
3663,Netsmartz Infotech,3.9,(298),IT Services & Consulting | Chandigarh +8 other locations,298,1.3k,26,3,13,--
3664,First Flight Couriers,4.4,(298),Logistics | Mumbai +72 other locations,298,488,8,32,30,--
3665,LatentView Analytics,3.5,(298),IT Services & Consulting | Chennai +11 other locations,298,2.9k,74,43,20,--
3666,Money View,4.1,(298),FinTech | Bengaluru +24 other locations,298,1.5k,35,21,6,--
3667,T R Chadha & Co Llp,3.3,(298),Accounting & Auditing | Mumbai +14 other locations,298,1.2k,21,20,19,--
3668,Altruist Customer Management India,4.1,(297),BPO | Chennai +14 other locations,297,1k,39,--,20,--
3669,Hardcastle Restaurants,3.7,(297),Hospitality | Mumbai +33 other locations,297,815,17,11,30,--
3670,Tata Green Batteries,3.9,(297),Auto Components | Pune +39 other locations,297,780,23,--,11,--
3671,Hamleys,3.8,(297),Retail | Mumbai +44 other locations,297,657,20,--,36,11
3672,Titan Laboratories,3.4,(297),Pharma | Mumbai +12 other locations,297,1k,8,23,50,--
3673,Ahresty India,3.8,(297),Auto Components | Rewari +11 other locations,297,1.1k,23,--,15,--
3674,Citrix,3.2,(297),Software Product | Bengaluru +6 other locations,297,2.4k,54,--,34,11
3675,SSF PLASTICS,3.6,(297),Petrochemicals | Hosur +15 other locations,297,1.2k,18,2,17,1
3676,VVF,3.9,(297),Chemicals | Mumbai +19 other locations,297,1.3k,14,--,27,--
3677,Rheinmetall Automotive,4.0,(297),Auto Components | Pune +12 other locations,297,1.2k,25,2,34,1
3678,BMW,4.1,(297),Automobile | Chennai +35 other locations,297,1.7k,22,--,19,--
3679,ICRA,3.2,(297),Financial Services | Mumbai +17 other locations,297,1.7k,30,3,34,--
3680,Mirafra Technologies,3.7,(297),Semiconductors | Bengaluru +9 other locations,297,2.8k,58,92,14,--
3681,Rheinmetall Automotive,4.0,(297),Auto Components | Pune +12 other locations,297,1.2k,25,2,34,1
3682,DynPro,3.7,(297),IT Services & Consulting | Bengaluru +15 other locations,297,1.4k,32,2,6,--
3683,Woodland,3.4,(297),Fashion & Textile | New Delhi +66 other locations,297,911,14,1,20,--
3684,INDIABULLS PHARMACEUTICALS,2.7,(296),Pharma | Mumbai +56 other locations,296,571,13,--,28,--
3685,Bhandari Automobiles,3.7,(296),Automobile | Kolkata +28 other locations,296,869,15,--,21,--
3686,Aspiro Pharma,3.8,(296),Pharma | Hyderabad +5 other locations,296,1k,14,3,19,--
3687,DataTrained,3.5,(296),EdTech | Noida +3 other locations,296,488,20,--,37,--
3688,Tata ClassEdge,3.5,(296),EdTech | Mumbai +48 other locations,296,926,15,9,32,--
3689,Blenheim Chalcot,2.7,(296),IT Services & Consulting | Mumbai +9 other locations,296,1.6k,51,3,8,69
3690,Rooman Technologies,3.7,(296),Education & Training | Bengaluru +41 other locations,296,780,13,2,19,--
3691,Ruby Hall Clinic,3.9,(296),Healthcare | Pune +8 other locations,296,968,16,--,28,--
3692,Presto Infosolutions,2.8,(296),Hardware & Networking | New Delhi +44 other locations,296,1.2k,16,--,11,2
3693,CQRA,4.3,(296),Engineering & Construction | Hyderabad +29 other locations,296,851,23,9,18,--
3694,Navneet Education,3.9,(296),Printing & Publishing | Mumbai +46 other locations,296,1.3k,13,--,20,--
3695,ANZ Operations & Technology,3.8,(296),Financial Services | Bengaluru +4 other locations,296,2.6k,31,--,37,--
3696,Saregama India,4.0,(296),Media & Entertainment | Mumbai +40 other locations,296,893,9,--,24,15
3697,GlobalStep,2.3,(296),IT Services & Consulting | Pune +6 other locations,296,1.7k,31,12,23,2
3698,NatWest Markets,3.9,(296),Banking | Gurugram +10 other locations,296,2.8k,18,9,45,--
3699,Tamilnad Mercantile Bank,2.5,(296),Banking | Chennai +74 other locations,296,963,19,--,12,3
3700,ANZ Operations & Technology,3.8,(296),Financial Services | Bengaluru +4 other locations,296,2.6k,31,--,37,--
3701,Blenheim Chalcot,2.7,(296),IT Services & Consulting | Mumbai +9 other locations,296,1.6k,51,3,8,69
3702,Tamilnad Mercantile Bank,2.5,(296),Banking | Chennai +74 other locations,296,963,19,--,12,3
3703,Xylem Water Solutions,3.7,(296),Waste Management | Vadodara +19 other locations,296,1.9k,29,81,26,--
3704,THE GUARDIANS Real Estate Advisory,3.6,(296),Real Estate | Mumbai +10 other locations,296,1.2k,26,4,14,--
3705,FUJIFILM,4.1,(295),Animation & VFX | Gurugram +32 other locations,295,1.1k,15,--,27,--
3706,Doubtnut,3.4,(295),EdTech | Gurugram +16 other locations,295,1.1k,39,--,28,3
3707,Integra Global Solutions,3.5,(295),Financial Services | Coimbatore +3 other locations,295,1.4k,33,23,3,--
3708,ScoreMe Solutions,3.4,(295),Software Product | Gurugram +5 other locations,295,471,10,--,102,--
3709,Onida,3.5,(295),Consumer Electronics & Appliances | Mumbai +67 other locations,295,858,10,--,21,--
3710,Airbnb,3.5,(295),Internet | Gurugram +11 other locations,295,1.6k,28,2,29,20
3711,CPM India Sales & Marketing,4.0,(295),Marketing & Advertising | New Delhi +50 other locations,295,991,13,8,29,--
3712,Junglee Games,4.1,(295),Gaming | Gurugram +7 other locations,295,1.7k,51,4,17,6
3713,Roki Minda Co,4.5,(294),Auto Components | Chennai +19 other locations,294,826,10,--,28,--
3714,IndianOil Adani Ventures,4.0,(294),Oil & Gas | Paradip +28 other locations,294,984,20,--,3,--
3715,NAFFCO,3.2,(294),Law Enforcement & Security | Chennai +22 other locations,294,774,25,--,30,--
3716,Spm Autocomp,3.6,(294),Auto Components | Pune +16 other locations,294,1.1k,24,--,19,1
3717,Merino Laminates,3.9,(294),Consumer Electronics & Appliances | New Delhi +54 other locations,294,974,15,--,15,--
3718,Pepe Jeans,4.1,(294),Fashion & Textile | Mumbai +60 other locations,294,899,10,--,37,--
3719,Diamondpick,3.9,(294),Recruitment | Chennai +6 other locations,294,1.5k,14,3,13,12
3720,Slr Metaliks,4.1,(294),Iron & Steel | Hosapete +10 other locations,294,1k,24,--,32,--
3721,GMR Energy,4.1,(294),Power | New Delhi +38 other locations,294,986,20,--,38,2
3722,TJSB Sahakari Bank,3.6,(294),Banking | Mumbai +28 other locations,294,1.2k,22,--,22,--
3723,Kelly Services,4.2,(294),Recruitment | Bengaluru +36 other locations,294,1.2k,17,--,40,7
3724,Alf Engineering,4.0,(294),Auto Components | Nashik +14 other locations,294,1.3k,29,--,14,--
3725,Can-Pack,4.4,(294),Packaging | Chhatrapati Sambhajinagar +11 other locations,294,1.2k,21,6,43,--
3726,Atul Auto,3.8,(294),Automobile | Ahmedabad +36 other locations,294,1.2k,28,12,25,1
3727,Futurense Technologies,4.0,(294),EdTech | Bengaluru +8 other locations,294,767,39,--,28,54
3728,MSPL,4.1,(294),Metals & Mining | Hosapete +31 other locations,294,1.2k,31,5,23,3
3729,Innoviti Technologies Private Limited,2.9,(295),FinTech | Bengaluru +46 other locations,295,1.5k,23,5,19,6
3730,Bajaj Energy,4.3,(294),Power | Lalitpur +16 other locations,294,887,12,--,30,1
3731,ARCADIS,4.1,(294),IT Services & Consulting | Bengaluru +26 other locations,294,1.8k,36,172,40,7
3732,HyScaler,4.3,(293),IT Services & Consulting | Bhubaneswar +3 other locations,293,257,104,24,86,18
3733,Danfoss Power Solutions,3.9,(293),Power | Pune +8 other locations,293,1.1k,11,--,22,--
3734,Aurigene Oncology Limited,4.2,(293),Biotechnology | Bengaluru +5 other locations,293,1.1k,16,5,26,5
3735,Hema Engineering Industries,4.0,(293),Auto Components | Gurugram +23 other locations,293,1.1k,13,--,31,--
3736,Bhash Software Labs,4.6,(293),Software Product | Bengaluru +4 other locations,293,147,43,--,25,--
3737,Gionee,4.5,(293),Consumer Electronics & Appliances | New Delhi +95 other locations,293,297,1,--,55,--
3738,AltezzaSys,3.8,(293),IT Services & Consulting | Noida +14 other locations,293,758,62,5,9,2
3739,Chubb,3.4,(293),Insurance | Hyderabad +7 other locations,293,3.1k,65,6,16,14
3740,Segula Technologies,3.5,(293),Engineering & Construction | Chennai +7 other locations,293,1.8k,30,4,8,--
3741,McAfee,3.8,(293),Software Product | Bengaluru +10 other locations,293,2.9k,34,4,48,6
3742,POSCO MAHARASHTRA STEEL,4.1,(293),Iron & Steel | Pune +12 other locations,293,1.3k,16,--,36,--
3743,R L Fine Chem,3.6,(293),Pharma | Bengaluru +7 other locations,293,1.5k,22,4,28,--
3744,Karuna Management Services,3.7,(293),Retail | Kolkata +28 other locations,293,443,24,3,8,1
3745,Mukand Limited,3.6,(294),Iron & Steel | Mumbai +19 other locations,294,1.1k,12,14,32,81
3746,Tablets (India),3.8,(293),Pharma | Chennai +48 other locations,293,837,23,--,24,--
3747,Aurangabad Electricals,4.0,(293),Auto Components | Chhatrapati Sambhajinagar +9 other locations,293,1k,13,--,38,--
3748,Wartsila,4.1,(293),Ports & Shipping | Mumbai +46 other locations,293,833,10,113,45,--
3749,Nexval Infotech,2.7,(292),IT Services & Consulting | Kolkata +8 other locations,292,962,11,--,33,--
3750,Keihin Fie,4.3,(292),Auto Components | Bangalore / Bengaluru +13 other locations,292,2.6k,6,--,46,--
3751,ABP Group,3.3,(292),Printing & Publishing | Kolkata +20 other locations,292,1.3k,8,--,40,--
3752,Ratnadeep Retail,4.2,(292),Retail | Hyderabad +13 other locations,292,1k,19,10,23,1
3753,ERA Group,4.1,(292),Power | New Delhi +40 other locations,292,547,6,3,28,--
3754,Piramal Foundation,4.1,(292),Non-Profit | New Delhi +83 other locations,292,835,18,--,19,1
3755,Shreya Life Sciences,4.1,(292),Pharma | Chhatrapati Sambhajinagar +64 other locations,292,612,12,--,19,--
3756,Garware Technical Fibres,3.7,(292),Fashion & Textile | Pune +27 other locations,292,1.3k,16,4,28,--
3757,Tradebulls,3.0,(292),Financial Services | Ahmedabad +18 other locations,292,1.3k,21,18,17,--
3758,IT By Design,3.2,(292),IT Services & Consulting | Chandigarh +12 other locations,292,1.6k,42,9,9,4
3759,TP Central Odisha Distribution,3.6,(320),Power | Bhubaneswar +26 other locations,320,913,40,--,19,1
3760,Consolidated Construction Consortium,4.2,(291),Engineering & Construction | Chennai +29 other locations,291,774,13,--,38,--
3761,Cure foods,3.4,(291),Fitness & Wellness | Bengaluru +23 other locations,291,847,20,--,31,--
3762,Aditya Birla Memorial Hospital,4.4,(291),Healthcare | Pune +10 other locations,291,802,22,26,14,5
3763,Vilas Javdekar Developers,3.9,(291),Real Estate | Pune +4 other locations,291,1.2k,34,20,11,--
3764,Personiv,3.7,(291),BPO | Coimbatore +9 other locations,291,1.7k,22,1,24,--
3765,Perkins,4.3,(291),Engineering & Construction | Chhatrapati Sambhajinagar +8 other locations,291,1.1k,12,--,22,--
3766,Arena Animation,3.6,(291),Education & Training | New Delhi +61 other locations,291,999,20,20,23,1
3767,Spectranet,3.6,(291),Telecom | Gurugram +10 other locations,291,1.2k,22,4,21,--
3768,Efftronics Systems,3.2,(291),Electronics Manufacturing | Vijayawada +34 other locations,291,906,54,18,30,2
3769,Impelsys,3.1,(291),IT Services & Consulting | Bengaluru +9 other locations,291,2.4k,30,9,24,--
3770,Knowledge Splice Services pvt ltd.,3.0,(291),BPO | Bengaluru +14 other locations,291,1.3k,17,5,17,--
3771,Baoiam Innovations,4.6,(291),EdTech | New Delhi +11 other locations,291,41,18,--,11,--
3772,Trelleborg,3.9,(291),Industrial Machinery | Bengaluru +8 other locations,291,1.6k,22,3,37,--
3773,Girmiti Software,4.1,(291),IT Services & Consulting | Bengaluru +4 other locations,291,1.5k,15,--,9,--
3774,Solartis Technology Services,3.5,(290),IT Services & Consulting | Madurai +3 other locations,290,1.9k,32,--,21,--
3775,Hughes Systique Corporation,3.8,(290),Emerging Technologies | Gurugram +6 other locations,290,2.3k,41,4,31,771
3776,RNF Technologies,3.0,(290),IT Services & Consulting | Noida +6 other locations,290,1.3k,38,2,62,--
3777,Renewsys India,4.0,(290),Power | Hyderabad +20 other locations,290,1.3k,24,7,19,1
3778,Goldmedal Electricals,3.7,(290),Electrical Equipment | Mumbai +72 other locations,290,1.2k,15,1,8,4
3779,Infrastructure Leasing & Financial Services,4.3,(291),Engineering & Construction | Mumbai +67 other locations,291,976,5,--,35,--
3780,Nature's Basket,3.9,(290),Internet | Mumbai +12 other locations,290,970,15,--,29,--
3781,Wirtgen India,4.2,(290),Industrial Machinery | Pune +28 other locations,290,1.1k,17,9,27,--
3782,BCT Consulting Private Limited,3.9,(290),IT Services & Consulting | Chennai +10 other locations,290,1.2k,40,3,2,11
3783,Softtek,3.8,(290),IT Services & Consulting | Bengaluru +9 other locations,290,1.9k,24,37,27,9
3784,ONPASSIVE,2.5,(290),IT Services & Consulting | Hyderabad +7 other locations,290,1.4k,25,--,33,6
